content_id,client_id,rf_score,risk_tier,reason_code,action,seen_in_training,days_since_last_update,impressions_90d,avg_position,ctr
content_b41fb554d71c,client_3fdba35f04,0.7316823953631574,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,162,10.0,0.0
content_d8b2ef7e6761,client_3fdba35f04,0.73165358871651,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,122,38.2,0.0
content_ce242cbf4233,client_3fdba35f04,0.7315386988258524,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,524,21.3,0.0
content_c64eead456d1,client_3fdba35f04,0.7315375433415565,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,545,15.1,0.0
content_b347847e81c2,client_3fdba35f04,0.7315375433415565,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,234,27.9,0.0
content_591e42284b84,client_3fdba35f04,0.7315375433415565,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,216,20.3,0.0
content_7628907d8270,client_3fdba35f04,0.7315375433415565,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,504,26.7,0.0
content_715643ea038f,client_3fdba35f04,0.7315375433415565,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,264,23.2,0.0
content_8266feeb482d,client_3fdba35f04,0.7314512624231672,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2742,25.5,0.07
content_b005f46f2e4c,client_3fdba35f04,0.731410070032045,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,673,2.7,0.15
content_07d5ab4b7da9,client_3fdba35f04,0.7313613164967964,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,608,17.4,0.0
content_dba1bbc29b4e,client_3fdba35f04,0.7313163986656217,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,383,38.2,0.0
content_cc088a55deca,client_8527a891e2,0.7313161902940889,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,False,104,211,27.9,0.0
content_0cbc4d4326d5,client_8527a891e2,0.7313161902940889,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,False,104,330,25.0,0.0
